"","filename","path","mouse.id","input.case","count"
"90","IGHV1-72_IGHJ2_39_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-72_IGHJ2_39_2.fasta","m1","all",2
"91","IGHV1-72_IGHJ4_48_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-72_IGHJ4_48_2.fasta","m1","all",2
"92","IGHV1-74_IGHJ3_39_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-74_IGHJ3_39_2.fasta","m1","all",2
"93","IGHV1-75_IGHJ1_48_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-75_IGHJ1_48_1.fasta","m1","all",2
"94","IGHV1-75_IGHJ2_27_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-75_IGHJ2_27_2.fasta","m1","all",2
"95","IGHV1-75_IGHJ2_42_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-75_IGHJ2_42_1.fasta","m1","all",2
"96","IGHV1-75_IGHJ4_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-75_IGHJ4_39_1.fasta","m1","all",2
"97","IGHV1-76_IGHJ1_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-76_IGHJ1_39_1.fasta","m1","all",2
"98","IGHV1-76_IGHJ4_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-76_IGHJ4_39_1.fasta","m1","all",2
"99","IGHV1-76_IGHJ4_48_4.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-76_IGHJ4_48_4.fasta","m1","all",2
"100","IGHV1-78_IGHJ2_18_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-78_IGHJ2_18_1.fasta","m1","all",2
"101","IGHV1-78_IGHJ2_30_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-78_IGHJ2_30_1.fasta","m1","all",2
"102","IGHV1-78_IGHJ2_39_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-78_IGHJ2_39_2.fasta","m1","all",2
"103","IGHV1-78_IGHJ2_42_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-78_IGHJ2_42_2.fasta","m1","all",2
"104","IGHV1-78_IGHJ2_45_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-78_IGHJ2_45_1.fasta","m1","all",2
"105","IGHV1-78_IGHJ4_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-78_IGHJ4_39_1.fasta","m1","all",2
"106","IGHV1-7_IGHJ2_28_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-7_IGHJ2_28_1.fasta","m1","all",2
"107","IGHV1-7_IGHJ2_36_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-7_IGHJ2_36_1.fasta","m1","all",2
